adcode,name,longitude,latitude
210100000000,沈阳市,123.4710966,41.68383007
211200000000,铁岭市,123.7353724,42.22922561
210900000000,阜新市,121.676408,42.0280219
210400000000,抚顺市,123.9643746,41.88596959
211300000000,朝阳市,120.4574995,41.57982086
210500000000,本溪市,123.6925071,41.49291646
211000000000,辽阳市,123.2433664,41.27416129
210300000000,鞍山市,123.0013725,41.1150536
211100000000,盘锦市,122.1771182,40.725791
210700000000,锦州市,121.1325963,41.1009315
211400000000,葫芦岛市,120.8433983,40.71736444
210800000000,营口市,122.2257988,40.63070304
210600000000,丹东市,124.3615473,40.00640871
210200000000,大连市,121.6216315,38.91895367
220100000000,长春市,125.3306021,43.8219535
220800000000,白城市,122.8455906,45.62550436
220700000000,松原市,124.8314819,45.14740419
220200000000,吉林市,126.5556345,43.84356783
220000000000,吉林省,125.3325799,43.90171444
220300000000,四平市,124.3564816,43.17199357
220400000000,辽源市,125.1504252,42.89405501
220600000000,白山市,126.4210864,41.94988402
220500000000,通化市,125.9466063,41.7338158
222400000000,延边朝鲜族自治州,129.4773763,42.91574303
230100000000,哈尔滨市,126.5416151,45.80882583
231100000000,黑河市,127.5354899,50.25127231
230700000000,伊春市,128.8475464,47.73331846
230200000000,齐齐哈尔市,123.9245709,47.35997719
230400000000,鹤岗市,130.3044329,47.35605616
230800000000,佳木斯市,130.3273591,46.80568999
230500000000,双鸭山市,131.1479736,46.68238905
231200000000,绥化市,126.9753569,46.66003218
230600000000,大庆市,125.1086576,46.59363318
230900000000,七台河市,131.0115446,45.77630032
230300000000,鸡西市,130.9756187,45.30087232
231000000000,牡丹江市,129.6395398,44.55624571
232700000000,大兴安岭地区,124.1529279,50.42002596
150100000000,呼和浩特市,111.7555086,40.848423
150700000000,呼伦贝尔市,119.7848691,49.1727328
150500000000,通辽市,122.2505218,43.65798008
150400000000,赤峰市,118.8955204,42.2616861
150800000000,巴彦淖尔市,107.3943981,40.74935949
150900000000,乌兰察布市,113.1394677,41.00074833
150200000000,包头市,109.9597986,40.62714122
150600000000,鄂尔多斯市,109.7874432,39.61448231
150300000000,乌海市,106.800391,39.66200636
152500000000,锡林郭勒盟,116.0543914,43.93942267
152900000000,阿拉善盟,105.7353775,38.85827588
152200000000,兴安盟,122.0443645,46.08846371
450100000000,南宁市,108.3734508,22.8226066
450300000000,桂林市,110.1861949,25.24169878
451200000000,河池市,108.6431087,24.49171426
451100000000,贺州市,111.5735263,24.4094509
450200000000,柳州市,109.4344219,24.33196139
451000000000,百色市,106.6245893,23.90818593
451300000000,来宾市,109.2274582,23.75654676
450400000000,梧州市,111.2855168,23.48274528
450800000000,贵港市,109.6055203,23.11744838
450900000000,玉林市,110.1884531,22.65983051
451400000000,崇左市,107.3715202,22.38311723
450700000000,钦州市,108.6605802,21.98659354
450600000000,防城港市,108.3604188,21.69300529
450500000000,北海市,109.1265332,21.4868365
540100000000,拉萨市,91.17845426,29.65948788
540300000000,昌都市,97.17733325,31.14866181
540200000000,日喀则市,88.89370303,29.27565782
540400000000,林芝市,94.36805829,29.65404218
